"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2022","309.84","315.44","317.55","309.83","78.01K","-1.78%"
"05/17/2022","315.44","306.62","317.82","304.56","70.43K","2.73%"
"05/16/2022","307.05","302.39","314.98","300.86","74.12K","1.54%"
"05/13/2022","302.39","315.44","316.46","300.19","101.54K","-4.16%"
"05/12/2022","315.52","333.04","333.56","315.29","71.36K","-5.26%"
"05/11/2022","333.04","330.02","335.55","329.40","47.27K","0.92%"
"05/10/2022","330.02","321.83","330.02","312.23","74.04K","2.05%"
"05/09/2022","323.39","341.80","343.40","322.49","88.62K","-5.84%"
"05/06/2022","343.46","358.75","358.75","343.46","61.70K","-4.26%"
"05/05/2022","358.75","359.10","365.16","352.88","68.20K","-0.62%"
"05/04/2022","360.97","363.86","366.89","360.81","72.94K","-1.33%"
"04/29/2022","365.83","360.22","367.83","358.35","77.70K","1.56%"
"04/28/2022","360.20","357.18","363.16","357.18","69.27K","0.87%"
"04/27/2022","357.09","345.17","357.39","344.39","66.43K","3.45%"
"04/26/2022","345.17","333.39","345.17","324.52","83.46K","2.27%"
"04/25/2022","337.51","358.19","362.03","337.29","96.00K","-6.02%"
"04/22/2022","359.12","365.64","372.32","356.61","113.52K","-2.04%"
"04/21/2022","366.61","380.03","380.03","365.26","99.53K","-3.53%"
"04/20/2022","380.04","392.69","393.56","380.04","87.81K","-3.22%"
"04/19/2022","392.69","403.12","407.59","392.61","87.18K","-2.59%"
"04/18/2022","403.12","416.71","418.35","400.88","97.82K","-3.26%"
"04/15/2022","416.71","423.69","424.95","416.61","69.32K","-1.65%"
"04/14/2022","423.69","429.92","431.86","423.69","56.27K","-0.88%"
"04/13/2022","427.45","421.04","427.52","415.05","80.50K","1.53%"
"04/12/2022","421.01","432.02","436.97","420.69","92.83K","-2.55%"
"04/08/2022","432.02","441.61","443.34","432.00","84.35K","-2.17%"
"04/07/2022","441.61","446.06","447.83","441.61","86.12K","-1.17%"
"04/06/2022","446.83","456.07","456.08","445.59","114.00K","-2.03%"
"04/05/2022","456.10","458.86","460.32","456.10","82.66K","-0.56%"
"04/04/2022","458.69","454.10","460.54","454.07","84.02K","1.01%"
"04/01/2022","454.10","449.56","454.10","444.62","123.00K","1.00%"
"03/31/2022","449.62","451.05","453.71","449.30","120.01K","-0.35%"
"03/30/2022","451.19","461.09","461.19","450.86","130.82K","-2.18%"
"03/29/2022","461.24","454.79","465.21","453.84","141.15K","1.40%"
"03/28/2022","454.89","461.75","462.19","450.97","148.45K","-1.49%"
"03/25/2022","461.75","462.14","464.00","458.77","127.18K","-0.23%"
"03/24/2022","462.80","462.10","462.88","458.72","116.37K","0.15%"
"03/23/2022","462.10","461.35","465.59","460.86","122.87K","0.16%"
"03/22/2022","461.35","458.31","465.20","458.31","134.21K","0.67%"
"03/21/2022","458.29","451.49","458.29","451.49","100.37K","1.57%"
"03/18/2022","451.21","446.17","453.76","446.17","111.05K","1.13%"
"03/17/2022","446.16","446.18","450.34","445.93","102.19K","0.00%"
"03/16/2022","446.18","443.54","448.30","443.53","80.40K","0.60%"
"03/15/2022","443.52","436.56","443.60","435.48","96.85K","1.59%"
"03/14/2022","436.57","442.20","443.53","434.07","125.68K","-1.27%"
"03/11/2022","442.20","447.60","448.17","440.68","168.79K","-1.22%"
"03/10/2022","447.64","444.64","449.87","442.88","118.66K","0.68%"
"03/09/2022","444.60","445.89","448.37","437.97","138.61K","-0.29%"
"03/08/2022","445.89","452.88","453.00","445.44","140.08K","-1.54%"
"03/07/2022","452.86","452.06","454.04","449.64","136.64K","0.50%"
"03/04/2022","450.59","449.35","452.93","449.22","137.48K","0.28%"
"03/03/2022","449.31","442.25","449.33","442.25","119.38K","1.60%"
"03/02/2022","442.25","443.81","446.45","440.40","104.74K","-0.30%"
"03/01/2022","443.56","440.42","444.70","440.14","117.19K","0.71%"
"02/28/2022","440.42","440.16","442.12","438.80","98.75K","0.06%"
"02/25/2022","440.16","434.88","442.74","434.59","104.59K","1.21%"
"02/24/2022","434.88","442.50","444.38","428.39","158.83K","-1.73%"
"02/23/2022","442.54","434.43","442.89","432.35","108.67K","1.87%"
"02/22/2022","434.43","440.99","441.42","430.64","119.18K","-1.49%"
"02/21/2022","440.99","435.61","443.01","435.57","97.37K","1.24%"
"02/18/2022","435.61","430.27","435.73","427.27","81.60K","1.25%"
"02/17/2022","430.24","429.12","432.27","427.88","62.34K","0.26%"
"02/16/2022","429.12","423.84","429.53","423.73","72.43K","1.25%"
"02/15/2022","423.84","421.01","425.25","418.82","47.08K","0.67%"
"02/14/2022","421.01","426.89","427.41","421.01","74.88K","-1.38%"
"02/11/2022","426.89","428.24","429.72","425.74","70.94K","-0.32%"
"02/10/2022","428.24","424.19","431.14","424.19","55.31K","0.95%"
"02/09/2022","424.19","417.86","424.29","415.12","64.77K","1.51%"
"02/08/2022","417.89","419.33","419.62","416.09","58.75K","-0.34%"
"02/07/2022","419.33","417.10","423.81","416.99","52.32K","0.62%"
"01/28/2022","416.73","411.28","417.03","406.85","67.64K","1.33%"
"01/27/2022","411.27","411.82","414.60","405.97","51.67K","-0.13%"
