"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2020","213.07","212.52","214.44","212.38","397.65M","1.08%"
"03/24/2020","210.79","214.48","215.27","209.36","449.21M","-0.62%"
"03/23/2020","212.11","218.74","219.38","212.11","423.38M","-6.30%"
"03/20/2020","226.36","220.89","226.81","220.63","590.22M","3.95%"
"03/19/2020","217.75","217.81","218.18","214.62","321.63M","-0.61%"
"03/18/2020","219.09","219.66","222.79","218.64","361.14M","0.38%"
"03/17/2020","218.26","219.24","221.61","217.61","375.62M","-1.35%"
"03/16/2020","221.24","225.40","228.87","219.04","418.61M","-4.67%"
"03/13/2020","232.09","220.43","232.39","212.49","624.46M","-2.21%"
"03/12/2020","237.33","251.37","251.72","233.39","606.65M","-7.69%"
"03/11/2020","257.10","259.12","260.27","255.90","506.92M","-0.73%"
"03/10/2020","259.00","257.36","259.49","256.75","442.68M","0.68%"
"03/09/2020","257.25","261.57","262.06","255.30","759.00M","-4.49%"
"03/06/2020","269.34","267.74","269.44","266.86","573.59M","-0.29%"
"03/05/2020","270.12","267.55","273.20","267.55","1.07B","1.39%"
"03/04/2020","266.42","263.54","266.42","262.66","397.95M","0.78%"
"03/03/2020","264.37","261.08","264.94","260.87","767.89M","2.55%"
"03/02/2020","257.80","261.74","262.71","253.58","2.24B","-1.51%"
"02/28/2020","261.76","266.15","266.32","260.77","463.74M","-3.74%"
"02/27/2020","271.94","264.01","271.94","263.02","366.29M","2.81%"
"02/26/2020","264.52","278.70","279.12","264.52","720.52M","-6.21%"
"02/25/2020","282.04","285.28","286.23","277.83","536.50M","-1.72%"
"02/24/2020","286.99","296.85","296.99","286.99","482.28M","-3.85%"
"02/21/2020","298.49","297.79","298.49","295.40","228.51M","0.10%"
"02/20/2020","298.19","300.75","300.79","296.96","303.43M","-0.51%"
"02/19/2020","299.73","302.67","304.14","299.59","362.11M","-1.29%"
"02/18/2020","303.65","304.85","304.85","302.29","298.65M","-0.19%"
"02/17/2020","304.24","305.81","306.13","304.24","323.96M","-0.19%"
"02/14/2020","304.82","305.75","307.83","304.82","446.34M","-0.01%"
"02/13/2020","304.86","307.08","307.68","304.86","478.83M","-0.54%"
"02/12/2020","306.52","305.31","307.19","304.56","409.73M","0.67%"
"02/11/2020","304.48","304.34","305.41","303.69","350.85M","0.17%"
"02/07/2020","303.95","302.58","304.56","302.41","387.94M","0.38%"
"02/06/2020","302.79","302.77","303.56","301.26","276.93M","0.29%"
