"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2019","848.65","853.50","853.50","844.56","78.41K","-0.58%"
"05/07/2019","853.56","856.34","861.00","851.90","77.86K","-0.14%"
"05/06/2019","854.78","869.74","869.74","852.20","92.58K","-1.75%"
"05/03/2019","869.97","870.12","871.58","865.95","92.47K","-0.02%"
"05/02/2019","870.17","868.45","870.67","866.93","85.63K","0.19%"
"04/26/2019","868.49","863.18","868.49","860.45","70.96K","0.62%"
"04/25/2019","863.18","865.75","866.03","861.23","73.19K","-0.30%"
"04/24/2019","865.76","856.38","865.76","856.29","83.31K","1.10%"
"04/23/2019","856.38","856.13","859.55","853.76","73.66K","0.03%"
"04/22/2019","856.13","858.54","859.09","851.27","76.43K","-0.27%"
"04/19/2019","858.46","855.24","863.01","855.24","62.92K","0.38%"
"04/18/2019","855.23","863.41","864.86","854.21","91.49K","-0.95%"
"04/17/2019","863.45","868.38","872.00","863.45","96.94K","-0.57%"
"04/16/2019","868.38","871.29","871.29","856.99","89.64K","-0.67%"
"04/12/2019","874.26","876.75","876.75","872.60","70.06K","-0.28%"
"04/11/2019","876.74","872.92","876.80","872.47","71.87K","0.43%"
"04/10/2019","872.95","879.62","879.62","867.87","91.05K","-0.78%"
"04/09/2019","879.77","887.85","890.40","878.89","106.46K","-0.91%"
"04/08/2019","887.85","884.95","887.85","882.41","95.00K","0.33%"
"04/05/2019","884.95","883.79","886.11","882.80","84.58K","0.13%"
"04/04/2019","883.79","881.29","885.89","880.49","81.88K","0.28%"
"04/03/2019","881.29","883.08","883.08","877.35","85.79K","-0.20%"
"04/02/2019","883.08","884.71","891.98","882.31","94.93K","-0.18%"
"04/01/2019","884.66","877.83","884.68","877.83","91.48K","0.78%"
"03/29/2019","877.83","879.36","884.14","877.83","91.28K","-0.17%"
"03/28/2019","879.36","876.77","880.36","873.81","83.34K","0.27%"
"03/27/2019","877.01","870.50","879.04","870.50","74.07K","0.75%"
"03/26/2019","870.51","869.54","877.71","867.58","95.29K","0.14%"
"03/25/2019","869.28","888.14","888.14","864.99","123.81K","-2.14%"
"03/22/2019","888.26","883.17","890.54","882.22","102.15K","0.58%"
"03/21/2019","883.15","900.95","905.13","883.15","123.28K","-1.97%"
"03/20/2019","900.88","905.08","905.08","891.59","115.98K","-0.47%"
"03/19/2019","905.10","910.40","913.00","902.76","130.20K","-0.58%"
"03/18/2019","910.40","904.22","911.84","904.16","126.58K","0.69%"
"03/15/2019","904.20","910.41","910.88","901.55","140.33K","-0.68%"
"03/14/2019","910.41","910.21","913.77","906.81","120.13K","0.02%"
"03/13/2019","910.21","905.72","915.11","905.72","139.86K","0.50%"
"03/12/2019","905.72","896.23","905.72","896.23","127.31K","1.39%"
"03/11/2019","893.27","891.93","895.68","889.39","92.25K","0.15%"
"03/08/2019","891.93","900.14","900.14","891.29","121.81K","-0.92%"
"03/07/2019","900.24","901.43","910.33","900.24","126.74K","-0.13%"
"03/06/2019","901.39","900.19","903.00","894.39","119.17K","0.13%"
"03/05/2019","900.19","904.70","907.45","898.92","166.16K","-0.51%"
"03/04/2019","904.79","892.13","905.18","892.12","154.28K","1.42%"
"03/01/2019","892.08","880.80","893.03","880.79","99.52K","1.28%"
"02/28/2019","880.80","905.53","905.70","880.80","149.95K","-2.73%"
"02/27/2019","905.52","902.11","909.34","902.11","154.49K","0.38%"
"02/26/2019","902.11","908.84","911.70","895.01","148.37K","-0.75%"
"02/25/2019","908.89","901.58","913.89","901.58","134.07K","0.81%"
"02/22/2019","901.58","900.59","906.05","895.00","142.72K","0.14%"
"02/21/2019","900.29","885.30","900.29","884.74","121.81K","1.70%"
"02/20/2019","885.24","880.57","886.76","879.87","104.27K","0.53%"
"02/19/2019","880.56","876.98","887.76","876.98","148.68K","0.41%"
"02/18/2019","876.96","868.74","876.96","868.74","113.50K","0.95%"
"02/15/2019","868.74","870.85","873.20","865.94","105.97K","-0.24%"
"02/14/2019","870.83","865.77","873.35","865.75","108.01K","0.58%"
"02/13/2019","865.77","857.94","865.77","857.25","130.35K","0.91%"
"02/12/2019","857.95","847.16","859.28","847.16","130.83K","1.28%"
"02/11/2019","847.14","829.93","847.14","829.93","75.14K","2.07%"
"02/01/2019","829.92","833.80","835.51","828.35","68.61K","-0.46%"
"01/31/2019","833.78","835.80","840.43","831.43","76.68K","-0.24%"
"01/30/2019","835.80","838.18","838.18","834.61","61.55K","-0.29%"
"01/29/2019","838.19","835.00","838.19","830.09","58.40K","0.39%"
"01/28/2019","834.96","833.86","837.27","832.55","55.84K","0.12%"
"01/25/2019","833.94","832.63","835.57","832.53","65.90K","0.15%"
"01/24/2019","832.69","829.64","833.54","829.21","65.11K","0.36%"
"01/23/2019","829.74","827.10","832.36","825.36","73.15K","0.32%"
"01/22/2019","827.09","829.43","832.47","826.98","84.56K","-0.28%"
"01/21/2019","829.41","821.69","830.27","821.69","85.03K","0.94%"
"01/18/2019","821.68","820.52","825.60","820.09","65.85K","0.14%"
"01/17/2019","820.52","829.08","829.48","820.52","86.76K","-1.05%"
"01/16/2019","829.19","829.96","832.56","826.59","75.71K","-0.09%"
"01/15/2019","829.97","824.56","829.97","821.86","69.30K","0.66%"
"01/14/2019","824.56","825.85","825.85","820.62","70.05K","-0.15%"
"01/11/2019","825.78","822.70","827.77","822.70","74.18K","0.36%"
"01/10/2019","822.79","821.12","824.27","818.81","69.16K","0.20%"
"01/09/2019","821.13","812.00","821.72","811.78","80.68K","1.14%"
"01/08/2019","811.90","816.76","818.31","808.67","63.29K","-0.60%"
"01/07/2019","816.76","806.83","823.06","806.83","59.75K","1.23%"
"01/04/2019","806.83","804.92","807.79","789.83","79.85K","0.24%"
